"zcta","median_income","total_population","total_male_population","median_age","hispanic","white","black","asian","indigenous"
"ZCTA5 00601",17526,16834,8337,44,16726,71,348,23,14
"ZCTA5 00602",20260,37642,18405,45.2,35608,1646,555,48,47
"ZCTA5 00603",17703,49075,23813,45,48141,684,1719,28,32
"ZCTA5 00606",19603,5590,2723,46.2,5552,38,9,0,0
"ZCTA5 00610",22796,25542,12317,44.4,24609,749,576,0,2
"ZCTA5 00611",22525,1315,667,48.1,1258,57,14,0,0
"ZCTA5 00612",22305,63312,29745,44.4,62913,182,1775,560,36
"ZCTA5 00616",23652,9625,4515,46.7,9601,24,626,147,0
"ZCTA5 00617",20328,22573,10709,42.6,22372,103,754,360,38
"ZCTA5 00622",22818,7577,3334,50.2,7472,105,419,0,0
"ZCTA5 00623",23132,39406,18869,45.4,39059,143,1790,206,177
"ZCTA5 00624",20101,21648,10612,40.1,21502,82,611,25,0
"ZCTA5 00627",23263,32733,15525,44.5,32459,210,542,0,43
"ZCTA5 00631",15658,1431,616,42.1,1431,0,8,0,0
"ZCTA5 00636",NA,1057,576,29.7,1057,0,0,0,0
"ZCTA5 00637",20568,22882,10634,45.1,22660,195,123,11,79
"ZCTA5 00638",19796,17605,8553,45.6,17479,126,594,77,247
"ZCTA5 00641",17673,24299,11497,45.9,23859,313,314,19,0
"ZCTA5 00646",31330,35926,17389,42.5,34988,906,2257,0,10
"ZCTA5 00647",17143,4702,2285,46.4,4651,5,287,4,0
"ZCTA5 00650",20363,13767,6578,41.1,13728,39,81,186,0
"ZCTA5 00652",26148,3924,1799,44.5,3834,90,74,49,38
"ZCTA5 00653",13777,8980,4460,44.7,8898,24,428,0,15
"ZCTA5 00656",21456,18121,8610,44.9,18065,37,343,82,32
"ZCTA5 00659",23899,37066,17719,44.7,36889,104,1242,4,84
"ZCTA5 00660",22556,15483,7162,48.9,15270,120,381,0,0
"ZCTA5 00662",20283,40480,19481,44.3,39693,363,3146,35,51
"ZCTA5 00664",17966,14967,7355,41.9,14716,251,560,0,0
"ZCTA5 00667",16889,23370,11400,47.4,22871,299,610,0,0
"ZCTA5 00669",18838,27529,13676,44.5,27240,166,621,0,15
"ZCTA5 00670",16644,8746,4297,44,8709,0,197,0,0
"ZCTA5 00674",20088,39385,18322,44,38355,519,1040,114,26
"ZCTA5 00676",20160,36683,17935,42.2,36446,134,1703,0,111
"ZCTA5 00677",26404,15304,7080,48.7,14351,809,344,0,0
"ZCTA5 00678",19558,25039,12401,44.4,24580,259,893,0,79
"ZCTA5 00680",16535,43173,20875,45.6,42980,130,978,33,20
"ZCTA5 00682",17385,30414,14278,38,29999,321,847,5,5
"ZCTA5 00683",18132,29547,14266,46.9,29265,243,339,8,0
"ZCTA5 00685",17481,40346,19505,45.7,38761,1157,1122,21,37
"ZCTA5 00687",22282,28659,14190,41.5,28551,90,1180,0,0
"ZCTA5 00688",17273,11478,5948,42.5,11418,60,168,111,0
"ZCTA5 00690",23343,5781,2785,36.6,5765,16,204,0,0
"ZCTA5 00692",25289,33302,15999,41.4,32989,147,2244,0,0
"ZCTA5 00693",23791,55570,26566,43.9,54411,968,2736,9,0
"ZCTA5 00694",NA,98,52,73.7,98,0,0,0,0
"ZCTA5 00698",19818,33506,15911,45.6,33153,157,915,0,28
"ZCTA5 00703",23045,24475,11773,44.1,24320,78,1650,0,352
"ZCTA5 00704",19845,6831,3275,31.7,6732,0,1352,0,0
"ZCTA5 00705",22679,24401,11649,45.7,24361,40,2343,0,131
"ZCTA5 00707",21765,10487,5168,46,10449,38,3840,0,0
"ZCTA5 00714",18496,15797,7286,41.9,15699,54,3091,0,0
"ZCTA5 00715",16250,2040,1037,54.2,2040,0,176,0,0
"ZCTA5 00716",20184,27166,12174,46.7,26920,177,1663,20,41
"ZCTA5 00717",14164,15029,6447,44.9,14896,80,908,16,91
"ZCTA5 00718",20414,23289,10914,39.7,23056,130,402,23,0
"ZCTA5 00719",20533,29523,14827,42.4,29512,1,2285,1,0
"ZCTA5 00720",16751,20816,10378,41.2,20670,112,1034,0,54
"ZCTA5 00723",20967,15978,7657,47.2,15978,0,5589,0,0
"ZCTA5 00725",25786,77244,35626,44.8,75670,1198,6819,170,258
"ZCTA5 00727",33678,53258,24879,42.8,52374,566,4940,256,102
"ZCTA5 00728",21239,38590,19493,40.4,38313,132,2520,44,38
"ZCTA5 00729",26978,47826,22725,41.9,47755,43,6789,319,37
"ZCTA5 00730",17517,32267,15359,44.4,32044,159,1479,0,7
"ZCTA5 00731",16944,10473,5076,47.9,10454,19,648,0,0
"ZCTA5 00735",23125,11164,5311,46,10974,122,637,54,42
"ZCTA5 00736",27158,45867,22104,44.4,45723,30,4117,71,275
"ZCTA5 00738",24643,30093,13946,44.2,29917,128,2033,47,16
"ZCTA5 00739",24887,34678,16543,42.8,34486,80,3990,30,197
"ZCTA5 00740",18784,2034,981,34,2034,0,88,0,0
"ZCTA5 00741",23821,3627,1615,47.1,3609,18,372,0,0
"ZCTA5 00745",26189,47494,22776,43.8,47124,200,5652,169,130
"ZCTA5 00751",20241,19570,9486,45.3,19493,34,3577,0,44
"ZCTA5 00754",19528,36576,17827,43.7,36444,4,10298,112,0
"ZCTA5 00757",22764,20048,9623,40.6,19952,29,3135,28,29
"ZCTA5 00765",17062,8199,4179,45.3,7744,313,579,16,0
"ZCTA5 00766",22511,22053,10664,43.1,21974,63,1889,0,16
"ZCTA5 00767",20126,30779,14844,45.7,30718,51,11410,10,0
"ZCTA5 00769",20236,34374,16657,44.5,34257,104,4506,0,9
"ZCTA5 00771",23343,34964,16657,42.8,34859,12,11396,32,23
"ZCTA5 00772",17209,17316,8107,42.8,17278,17,6942,13,0
"ZCTA5 00773",22585,17716,8285,44.5,17607,71,1292,48,0
"ZCTA5 00775",25483,1186,657,44.6,1111,43,31,9,0
"ZCTA5 00777",26052,37726,17924,39.9,37531,79,8274,0,75
"ZCTA5 00778",39484,40476,19029,41.2,38942,740,4566,100,129
"ZCTA5 00780",26075,13908,6709,39.6,13853,0,974,0,0
"ZCTA5 00782",16221,18639,9299,41.2,18614,25,1523,0,0
"ZCTA5 00783",21701,34205,16575,41.8,34148,57,2283,0,0
"ZCTA5 00784",19199,35917,17784,40.6,35713,103,3867,0,19
"ZCTA5 00786",NA,154,72,61.3,154,0,67,0,0
"ZCTA5 00791",26002,46537,22051,46,45949,207,5685,235,83
"ZCTA5 00794",21278,28335,13914,39.4,28300,27,2019,0,16
"ZCTA5 00795",22579,42900,20289,41.9,42814,81,2552,1,7
"ZCTA5 00901",27926,8220,4400,46,7738,409,977,1,1
"ZCTA5 00906",NA,148,80,35.2,123,25,0,0,0
"ZCTA5 00907",40293,16607,8240,50.7,15641,513,1426,169,46
"ZCTA5 00909",25778,5260,2537,41.6,5070,162,610,15,70
"ZCTA5 00911",38125,7087,3542,48.5,6015,793,493,266,33
"ZCTA5 00912",27026,5955,2695,48.1,5814,44,646,66,13
"ZCTA5 00913",6449,7068,2999,28,6512,519,295,66,25
"ZCTA5 00915",12963,24713,11449,42.8,24371,65,3503,12,45
"ZCTA5 00917",17086,18544,8466,49.2,18358,99,1522,65,17
"ZCTA5 00918",35000,15976,7065,44.4,15825,110,782,43,31
"ZCTA5 00920",28562,17293,8058,45,17158,50,3227,0,57
"ZCTA5 00921",21419,33555,15083,41.8,33297,205,5116,11,63
"ZCTA5 00923",18389,24760,11175,43.6,24551,126,3409,41,63
"ZCTA5 00924",21046,47080,20859,41.5,46651,207,8481,9,75
"ZCTA5 00925",13016,5556,2937,41.7,5391,51,839,43,35
"ZCTA5 00926",38432,93751,42020,45.3,92419,1040,8818,130,136
"ZCTA5 00927",40213,13766,6110,48.2,13362,330,713,70,71
"ZCTA5 00934",NA,128,84,32.3,44,59,59,0,0
"ZCTA5 00949",31500,68031,31291,42,67365,559,4725,20,261
"ZCTA5 00950",NA,0,0,NA,0,0,0,0,0
"ZCTA5 00951",21354,298,151,46.2,298,0,88,0,0
"ZCTA5 00952",19392,8168,4066,51.6,8167,1,1401,0,11
"ZCTA5 00953",32957,66079,31605,40.8,65428,447,3552,117,0
"ZCTA5 00956",27243,65841,31057,44,65274,276,4133,31,67
"ZCTA5 00957",28240,41009,18142,44.1,40619,128,2572,198,64
"ZCTA5 00959",31603,47721,21365,42.3,46589,819,3681,79,8
"ZCTA5 00960",NA,3405,3394,36.1,3347,3,329,0,0
"ZCTA5 00961",34141,29271,13728,46.8,29089,77,2050,33,0
"ZCTA5 00962",18478,19614,9183,41,19344,184,2274,0,51
"ZCTA5 00965",15872,5148,2373,45.4,5032,25,717,30,5
"ZCTA5 00966",51732,16451,7673,49.3,16159,253,625,38,0
"ZCTA5 00968",55132,3554,1433,57.3,3489,38,106,13,0
"ZCTA5 00969",55929,41784,19288,45,41170,399,2260,69,134
"ZCTA5 00971",31484,26430,13222,47.1,26351,51,1576,0,27
"ZCTA5 00976",35661,61638,28440,44.4,61209,358,8029,232,65
"ZCTA5 00979",34705,16890,8412,52.7,16213,424,1152,79,50
"ZCTA5 00982",24244,13876,6186,44.3,13722,23,2287,129,0
"ZCTA5 00983",30595,31816,14140,42.2,31628,124,5039,37,0
"ZCTA5 00985",33270,32265,14346,47.7,32008,105,5185,65,0
"ZCTA5 00987",36396,54109,24952,41.1,53489,482,6692,129,55
"ZCTA5 01001",73398,16045,7872,45.9,1183,13685,530,489,0
"ZCTA5 01002",74265,22992,11654,26.4,1903,16299,942,2085,19
"ZCTA5 01003",NA,11989,5680,19.8,886,7411,653,2439,0
"ZCTA5 01005",97409,4837,2230,44.4,253,4515,55,0,0
"ZCTA5 01007",99500,15368,7406,44,708,13451,171,497,0
"ZCTA5 01008",93405,1231,620,50.2,51,1165,0,0,2
"ZCTA5 01009",68510,699,364,31.1,0,699,0,0,0
"ZCTA5 01010",88438,3699,2037,45.5,48,2985,166,7,0
"ZCTA5 01011",80640,1318,621,47.1,17,1273,0,0,0
"ZCTA5 01012",73906,440,224,54.5,10,430,0,0,0
"ZCTA5 01013",62000,22895,10639,39,7822,13453,1291,489,25
"ZCTA5 01020",67617,30417,15394,44,5336,22501,1549,674,2
"ZCTA5 01022",52207,2144,953,39.3,158,1584,315,65,0
"ZCTA5 01026",83875,1073,572,51.2,17,1007,6,0,1
"ZCTA5 01027",69337,17711,8716,47.5,1345,15363,107,269,0
"ZCTA5 01028",100610,16273,7706,43.7,1222,13928,433,219,0
"ZCTA5 01029",93125,527,328,56.8,11,510,0,0,1
"ZCTA5 01030",87324,12561,6157,46.1,438,11481,155,81,0
"ZCTA5 01031",51250,1697,939,35.5,250,1421,0,0,0
"ZCTA5 01032",88077,484,223,55.3,5,479,0,0,0
"ZCTA5 01033",102248,6096,3032,48.3,217,5667,122,31,0
"ZCTA5 01034",104583,2065,1065,50.2,11,1944,21,12,5
"ZCTA5 01035",112450,5295,2476,48.7,187,4802,5,129,0
"ZCTA5 01036",110320,4966,2477,55.3,270,4540,0,22,18
"ZCTA5 01037",78047,582,307,62,22,532,1,11,1
"ZCTA5 01038",103125,2469,1235,48.5,208,2129,0,25,30
"ZCTA5 01039",109167,1728,730,52.8,66,1609,23,0,23
"ZCTA5 01040",49007,38210,18805,37.5,19744,16555,1758,310,197
"ZCTA5 01050",84333,2714,1336,44.4,43,2589,35,0,7
"ZCTA5 01053",60875,1885,900,57.1,62,1614,165,6,0
"ZCTA5 01054",105833,1793,846,49,58,1606,10,67,0
"ZCTA5 01056",76395,20883,10677,44.6,2115,17786,255,219,0
"ZCTA5 01057",85614,8215,4130,49.6,292,7704,49,168,0
"ZCTA5 01060",79604,14724,6563,42.2,1265,12136,154,493,36
"ZCTA5 01062",87409,9491,4533,49.6,743,8085,157,121,10
"ZCTA5 01063",NA,2089,14,19.9,170,1266,111,458,0
"ZCTA5 01066",20202,134,39,49.4,0,134,0,0,0
"ZCTA5 01068",93906,1585,775,49.3,18,1476,21,0,0
"ZCTA5 01069",71439,8516,4341,51.5,500,7018,237,151,0
"ZCTA5 01070",60313,571,267,55.6,0,507,1,1,9
"ZCTA5 01071",105417,1259,672,47,58,1120,30,1,0
"ZCTA5 01072",99000,1413,637,53.5,113,1261,6,12,0
"ZCTA5 01073",114531,6185,3357,47.8,171,5641,21,110,0
"ZCTA5 01074",88190,694,281,34.9,30,664,0,0,0
"ZCTA5 01075",92740,17115,7309,44.6,1096,14491,229,866,0
"ZCTA5 01077",106779,9244,4665,47.8,573,8287,22,105,40
"ZCTA5 01079",NA,640,289,48.7,54,585,1,0,0
"ZCTA5 01080",89335,2674,1390,36.4,328,2059,88,20,0
"ZCTA5 01081",88636,1716,882,42.4,73,1580,9,2,2
"ZCTA5 01082",66607,10533,5113,42.9,442,9560,295,1,0
"ZCTA5 01083",87511,2539,1569,35,133,2243,23,163,0
"ZCTA5 01084",86538,99,46,51.4,0,99,0,0,0
"ZCTA5 01085",78901,41592,19903,39.4,4229,33933,632,1832,16
"ZCTA5 01088",51591,725,328,31.4,5,688,0,32,0
"ZCTA5 01089",67297,28755,13952,38.7,3419,21954,1016,1530,68
"ZCTA5 01092",69048,1428,691,36.4,0,1398,30,0,0
"ZCTA5 01093",130781,145,68,54.4,0,145,0,0,0
"ZCTA5 01094",87188,44,15,52.2,0,44,0,0,0
"ZCTA5 01095",126689,14673,7136,44.7,802,12745,555,224,0
"ZCTA5 01096",106250,2516,1261,47.9,64,2358,21,1,14
"ZCTA5 01097",NA,36,4,33.8,0,36,0,0,0
"ZCTA5 01098",91181,951,462,61.1,10,923,0,0,0
"ZCTA5 01103",21288,2245,941,36.5,1055,575,496,69,24
"ZCTA5 01104",47413,22606,9850,34.7,14344,5179,3125,158,33
"ZCTA5 01105",23948,12045,6265,28.1,9350,953,2137,22,1
"ZCTA5 01106",137597,16019,7416,45.1,596,13863,206,926,0
"ZCTA5 01107",30825,12443,6078,27.4,9921,1383,1444,191,4
"ZCTA5 01108",48465,26198,12095,34.6,10803,8522,4745,1797,77
"ZCTA5 01109",42928,31301,15867,29,14331,5310,11227,425,343
"ZCTA5 01118",78354,15112,7452,37.7,3791,7453,2729,797,76
"ZCTA5 01119",54326,14182,7020,36.2,4398,5827,3237,640,73
"ZCTA5 01128",77050,3063,1420,39.2,682,1928,264,101,0
"ZCTA5 01129",80352,6486,3258,42.8,2070,3336,793,163,17
"ZCTA5 01144",NA,0,0,NA,0,0,0,0,0
"ZCTA5 01151",51410,9467,4395,33.9,4305,3180,1677,108,0
"ZCTA5 01201",67262,45188,22501,43.8,3690,36093,2599,566,68
"ZCTA5 01220",54677,8149,3923,48.2,248,7657,28,62,3
"ZCTA5 01222",78077,623,280,42.6,0,623,0,0,0
"ZCTA5 01223",79226,2565,1394,50.5,82,2328,38,8,4
"ZCTA5 01224",NA,124,47,57.1,0,124,0,0,0
"ZCTA5 01225",72485,3239,1645,52.1,26,2914,26,79,11
"ZCTA5 01226",76198,6332,3003,49.8,183,5944,19,73,0
"ZCTA5 01229",NA,125,56,73.3,0,125,0,0,0
"ZCTA5 01230",73884,9095,4300,48.4,399,8027,209,50,23
"ZCTA5 01235",71641,2461,1185,51.1,97,2280,12,0,6
"ZCTA5 01236",113958,1625,894,55.3,69,1251,13,257,0
"ZCTA5 01237",86300,2451,1200,50.3,7,2414,25,0,0
"ZCTA5 01238",77679,5928,2810,50.8,179,5402,36,140,15
"ZCTA5 01240",82578,4922,2298,58.1,263,4494,78,13,16
"ZCTA5 01242",NA,255,31,40.7,0,255,0,0,0
"ZCTA5 01243",79167,135,75,59.6,0,122,0,0,6
"ZCTA5 01244",56842,158,69,58.8,0,158,0,0,0
"ZCTA5 01245",111354,828,397,64.4,49,773,3,3,0
"ZCTA5 01247",53692,15279,7767,44.9,875,13366,225,436,33
"ZCTA5 01253",102596,818,393,53,15,780,0,0,0
"ZCTA5 01254",91667,961,432,61.8,10,887,43,14,0
"ZCTA5 01255",73958,931,468,48.9,24,838,16,6,0
"ZCTA5 01256",54219,620,320,54.1,4,584,27,0,1
"ZCTA5 01257",78940,2230,1091,58.1,175,1948,1,46,0
"ZCTA5 01258",117917,188,97,55.6,2,181,0,0,0
"ZCTA5 01259",120568,733,318,42.8,62,627,38,0,0
"ZCTA5 01260",NA,20,9,NA,0,20,0,0,0
"ZCTA5 01262",75804,1785,925,60.3,28,1631,67,39,5
"ZCTA5 01264",78750,207,92,63.4,3,204,0,0,0
"ZCTA5 01266",85714,952,476,56,23,895,1,12,17
"ZCTA5 01267",101823,8142,3689,34.1,286,6786,270,393,8
"ZCTA5 01270",100833,999,517,44.2,10,843,0,7,0
"ZCTA5 01301",53536,17880,8821,44.3,1125,15600,430,305,18
"ZCTA5 01330",80560,1607,862,58.1,63,1436,1,16,0
"ZCTA5 01331",66985,13845,6992,44,777,12445,67,86,10
"ZCTA5 01337",79000,2470,1242,49.8,37,2337,2,21,1
"ZCTA5 01338",56250,65,41,72.5,5,60,0,0,0
"ZCTA5 01339",69500,1396,705,56.9,4,1343,0,27,0
"ZCTA5 01340",74632,1890,997,50.8,53,1762,11,11,0
"ZCTA5 01341",92500,1620,762,54,67,1525,0,7,4
"ZCTA5 01342",99583,1321,774,36.8,28,990,43,4,0
"ZCTA5 01343",76250,167,81,43.7,9,158,0,0,0
"ZCTA5 01344",70560,1631,783,43.2,55,1494,20,0,7
"ZCTA5 01346",105944,409,231,58.3,25,372,0,9,0
"ZCTA5 01347",74712,197,30,29.5,0,139,0,34,0
"ZCTA5 01349",70240,764,372,43.1,5,656,0,15,5
"ZCTA5 01350",NA,103,45,61.1,0,103,0,0,0
"ZCTA5 01351",96389,2741,1297,44,1,2647,29,0,4
"ZCTA5 01354",79135,1747,978,43.5,0,1551,43,101,0
"ZCTA5 01355",76739,1009,558,55.6,19,784,0,10,3
"ZCTA5 01360",94775,2871,1395,48.4,171,2582,6,2,0
"ZCTA5 01364",55773,7643,3633,43.1,378,6940,74,52,11
"ZCTA5 01366",104205,1177,648,52,41,1061,5,12,0
"ZCTA5 01367",78125,504,248,45.3,11,442,5,2,0
"ZCTA5 01368",98542,1455,854,48.2,0,1406,0,2,0
"ZCTA5 01370",74680,3713,1782,52.4,194,3294,15,56,0
"ZCTA5 01373",96546,4921,2356,52.3,269,4567,11,1,0
"ZCTA5 01375",59185,3658,1812,34,184,2807,101,551,0
"ZCTA5 01376",53671,4868,2455,47.7,282,4359,18,6,0
"ZCTA5 01378",89643,814,405,50.4,8,780,0,9,0
"ZCTA5 01379",66290,779,383,52,36,644,50,18,0
"ZCTA5 01380",NA,25,23,30.8,0,25,0,0,0
"ZCTA5 01420",65599,41661,20137,37.7,12721,24195,2980,724,103
"ZCTA5 01430",111801,6457,3374,38.8,250,5834,48,54,14
"ZCTA5 01431",105750,3187,1615,51.6,83,3034,0,15,0
"ZCTA5 01432",99375,8118,3977,40,1268,6143,236,131,8
"ZCTA5 01434",106875,1763,1396,46,227,899,418,212,16
"ZCTA5 01436",90225,3694,2213,32.8,134,3530,18,0,0
"ZCTA5 01438",83953,385,196,19.4,0,382,3,0,0
"ZCTA5 01440",57289,21231,11172,45.1,1765,17774,496,678,44
"ZCTA5 01450",186750,11212,5727,41,459,9624,50,536,0
"ZCTA5 01451",199191,5362,2616,41.6,448,4616,0,258,0
"ZCTA5 01452",114922,4338,2175,42.3,123,3871,121,109,10
"ZCTA5 01453",75954,43550,22131,43,6071,30803,2835,1288,45
"ZCTA5 01460",151488,10084,4969,42.3,255,8717,62,715,5
"ZCTA5 01462",106473,11765,5940,43,460,10475,225,112,0
"ZCTA5 01463",124052,11667,5649,42.9,350,10008,289,633,0
"ZCTA5 01464",114118,7092,4380,46.3,568,5783,526,145,3
"ZCTA5 01468",106581,4009,1916,43.9,18,3817,0,72,0
"ZCTA5 01469",100402,7168,3512,40.8,238,6184,283,296,0
"ZCTA5 01473",95674,8220,3871,48.6,120,7975,0,53,0
"ZCTA5 01474",117109,1902,995,51.8,138,1686,0,0,0
"ZCTA5 01475",85379,10180,5022,39.7,405,8553,129,434,0
"ZCTA5 01501",101992,16763,7764,43.8,814,15147,78,453,0
"ZCTA5 01503",123077,3514,1672,49.7,81,3206,36,108,0
"ZCTA5 01504",95132,9195,4305,43.4,342,7995,286,177,0
"ZCTA5 01505",133292,4855,2489,46.3,139,4426,15,169,0
"ZCTA5 01506",71122,3443,1620,50.6,74,3225,13,6,0
"ZCTA5 01507",113896,13338,6646,43,733,12208,82,24,14
"ZCTA5 01510",89888,15347,7586,38,2410,11978,254,281,23
"ZCTA5 01515",77122,2120,1058,51.7,109,1901,21,33,0
"ZCTA5 01516",138276,9213,4300,43.3,394,8703,17,29,0
"ZCTA5 01518",102500,3047,1434,35.3,90,2835,34,88,0
"ZCTA5 01519",144452,7634,3900,40.3,250,6444,43,529,0
"ZCTA5 01520",141508,16893,8221,41.5,1071,14341,445,376,12
"ZCTA5 01521",81250,2585,1330,51.2,155,2351,0,21,31
"ZCTA5 01522",116894,2890,1547,42,29,2711,48,29,22
"ZCTA5 01523",111506,8395,4510,42,719,7065,336,61,13
"ZCTA5 01524",88933,6077,3198,42.2,212,5389,239,52,0
"ZCTA5 01525",NA,31,31,NA,0,31,0,0,0
"ZCTA5 01527",109119,13852,6683,44,500,11752,180,641,24
"ZCTA5 01529",95144,3176,1576,47.7,36,2987,25,18,0
"ZCTA5 01531",99318,984,480,48.3,8,935,23,2,0
"ZCTA5 01532",160801,15647,7369,44.8,627,12130,515,1718,0
"ZCTA5 01534",123370,5893,2900,47,407,5139,129,141,0
"ZCTA5 01535",80380,4750,2398,47.7,43,4568,74,6,0
"ZCTA5 01536",103793,7282,3531,41.4,677,5327,202,496,64
"ZCTA5 01537",67750,1935,848,35.5,1,1796,82,0,0
"ZCTA5 01540",100757,11420,5490,42.1,572,10468,139,102,0
"ZCTA5 01541",163750,3497,1770,49.4,84,3271,17,0,0
"ZCTA5 01542",106719,2815,1420,46,93,2449,127,0,0
"ZCTA5 01543",150685,9102,4881,41.4,302,8401,67,284,0
"ZCTA5 01545",127088,38734,19158,39.7,1885,24847,1372,9025,48
"ZCTA5 01550",55182,17669,8599,38.6,6363,10010,874,201,129
"ZCTA5 01560",94464,4734,2409,38.6,295,3381,96,592,0
"ZCTA5 01561",NA,0,0,NA,0,0,0,0,0
"ZCTA5 01562",76225,11955,6362,47.7,489,10776,116,80,0
"ZCTA5 01564",131058,8053,3975,51.1,271,7622,69,22,20
"ZCTA5 01566",122844,6795,3298,49,195,6092,92,253,27
"ZCTA5 01568",147198,7828,3833,44.6,445,6348,426,312,13
"ZCTA5 01569",124057,14039,6907,43.5,384,12855,220,81,104
"ZCTA5 01570",70644,17671,8535,40.6,2985,13101,1056,176,92
"ZCTA5 01571",87306,11885,5754,41,523,10040,546,428,0
"ZCTA5 01581",133145,21360,10595,38.9,1387,12542,704,5741,6
"ZCTA5 01583",97736,7476,3810,46.8,461,6389,278,85,2
"ZCTA5 01585",69767,4841,2215,52.6,124,4640,0,0,54
"ZCTA5 01588",88487,10468,4999,38.8,1015,9134,22,35,0
"ZCTA5 01590",138750,9268,4572,42.5,137,8421,83,141,0
"ZCTA5 01602",86128,25869,12457,39.9,3419,17314,2942,1392,14
"ZCTA5 01603",58797,20678,10128,35.3,5734,9050,2086,2877,139
"ZCTA5 01604",68823,40724,21115,36.7,8619,21165,6382,2808,142
"ZCTA5 01605",51360,30590,15032,32.1,10059,13755,4284,1290,116
"ZCTA5 01606",82640,22636,11256,39.9,3338,14077,2426,1475,0
"ZCTA5 01607",63718,8630,4244,36.3,1748,4648,1699,117,0
"ZCTA5 01608",41319,5080,2641,29.7,2335,1494,495,453,373
"ZCTA5 01609",58246,23256,12468,31.9,4536,14502,2047,1373,21
"ZCTA5 01610",39570,27033,12508,27.5,10472,9906,3801,2054,16
"ZCTA5 01611",113276,2188,1133,41.9,137,1921,43,4,0
"ZCTA5 01612",130787,5013,2532,36.9,200,4478,131,49,0
"ZCTA5 01701",124532,32973,16319,43.5,2896,23084,1539,2971,30
"ZCTA5 01702",76636,38898,19717,35.1,9680,16937,3044,2429,39
"ZCTA5 01718",NA,737,412,38.1,13,323,0,265,0
"ZCTA5 01719",151207,5462,2562,41.8,76,3753,514,958,0
"ZCTA5 01720",151339,23081,10950,44.2,839,14315,886,5755,0
"ZCTA5 01721",124311,18634,9166,41.8,1543,12957,856,2598,64
"ZCTA5 01730",143424,14408,6854,43.3,623,10074,343,2782,8
"ZCTA5 01731",71250,1784,1059,25.5,570,785,44,267,0
"ZCTA5 01740",191208,5653,2810,40.7,223,4796,0,353,28
"ZCTA5 01741",247656,5209,2801,45.4,61,4361,3,548,0
"ZCTA5 01742",183657,18311,9195,46.4,1009,14815,658,876,34
"ZCTA5 01745",162350,554,204,35.1,20,390,0,138,0
"ZCTA5 01746",149614,14902,7693,45.1,639,12893,86,810,0
"ZCTA5 01747",120750,6021,2701,43.3,209,5655,94,22,0
"ZCTA5 01748",191439,18748,9419,41.9,515,14155,146,3077,31
"ZCTA5 01749",103086,19947,9677,43.4,1179,16402,167,961,145
"ZCTA5 01752",94199,41391,19995,38.1,7010,25534,1418,2138,100
"ZCTA5 01754",112524,10671,5402,40.8,385,9025,49,460,0
"ZCTA5 01756",135909,6238,2956,44.7,175,5773,27,36,0
"ZCTA5 01757",93100,30411,15881,40,3538,21393,1196,755,263
"ZCTA5 01760",133623,36274,17477,42.4,1339,28198,592,4978,52
"ZCTA5 01770",242688,4404,2133,44.3,86,3616,9,342,0
"ZCTA5 01772",188000,9867,4529,42.2,391,7382,51,1553,0
"ZCTA5 01773",185288,5216,2443,51.2,226,4480,44,247,0
"ZCTA5 01775",166833,7111,3787,41,119,5902,212,400,0
"ZCTA5 01776",234427,18926,9338,43.8,296,15368,297,1911,7
"ZCTA5 01778",207721,14070,6937,44,717,10862,120,1799,0
"ZCTA5 01801",104780,40992,20032,39.2,2486,30453,2096,3929,28
"ZCTA5 01803",134189,26004,12643,43.9,730,19612,559,3793,15
"ZCTA5 01810",162694,35612,17303,43.7,3343,25051,816,5348,37
"ZCTA5 01821",138397,30854,14968,43.1,1214,24403,1531,2770,0
"ZCTA5 01824",137778,26612,12963,43.6,1318,21397,486,2321,25
"ZCTA5 01826",102335,32309,16388,41.3,2567,26259,1179,1581,0
"ZCTA5 01827",193583,3359,1747,41.8,161,3002,37,117,0
"ZCTA5 01830",72195,26885,13115,38.5,7204,17279,1173,320,42
"ZCTA5 01832",78151,25707,12584,38.6,6951,15947,723,563,32
"ZCTA5 01833",148810,8389,4109,41.8,209,7577,100,86,7
"ZCTA5 01834",131952,6742,3254,42.2,270,6355,0,11,0
"ZCTA5 01835",102162,14681,7243,35.7,2158,11102,682,98,0
"ZCTA5 01840",30696,6977,2939,34.9,5957,804,241,0,44
"ZCTA5 01841",51574,52738,26168,30.6,45598,5219,2753,690,143
"ZCTA5 01843",72630,28352,14618,32.1,20624,5464,1541,1162,68
"ZCTA5 01844",93739,52780,25375,40.6,15817,30581,2910,2205,114
"ZCTA5 01845",131852,31624,15918,38.4,2727,24920,858,2139,99
"ZCTA5 01850",66069,16806,8333,33.5,4472,7396,2139,2537,0
"ZCTA5 01851",79330,32323,15994,34.8,3997,10623,2907,13492,106
"ZCTA5 01852",76272,36546,17740,37.4,5619,20707,3137,5226,182
"ZCTA5 01854",66645,29062,14919,31.7,6305,14622,2667,4658,8
"ZCTA5 01860",100321,6717,3527,48.2,111,6197,0,43,0
"ZCTA5 01862",125159,11126,6064,43.1,1025,8136,1016,589,0
"ZCTA5 01863",128682,9570,4662,42,257,7905,248,853,11
"ZCTA5 01864",141442,15529,7861,43.9,243,13640,177,676,0
"ZCTA5 01867",154505,25443,12602,44.2,1127,21894,106,1632,14
"ZCTA5 01876",120891,30817,14726,47.1,978,27115,947,1293,0
"ZCTA5 01879",140901,12385,5976,37.5,875,9860,227,1183,0
