"zcta","median_income","total_population","total_male_population","median_age","hispanic","white","black","asian","indigenous"
"ZCTA5 40241",95309,30986,14969,40.7,1621,23000,3167,1858,7
"ZCTA5 40242",78994,11544,5246,35.9,556,8256,1707,545,6
"ZCTA5 40243",85716,11943,5679,48.1,204,10176,768,494,17
"ZCTA5 40245",118333,38861,18815,40.2,1033,29991,3689,2653,27
"ZCTA5 40258",62948,27487,13780,37.6,1608,18141,6065,334,0
"ZCTA5 40272",64617,38114,18684,38.6,1878,30441,3863,253,6
"ZCTA5 40280",NA,218,149,19.9,8,166,36,0,0
"ZCTA5 40291",81059,40888,18917,39.7,2586,28970,7295,913,2
"ZCTA5 40299",83783,40816,19355,39.8,1549,33147,4322,1048,27
"ZCTA5 40310",50750,554,258,44.9,0,527,13,0,6
"ZCTA5 40311",59123,7684,3830,39,0,7352,60,0,0
"ZCTA5 40312",35270,6267,3391,39.9,182,5876,0,0,0
"ZCTA5 40313",51260,2593,1134,38.8,105,2456,26,0,0
"ZCTA5 40316",44005,434,183,50.5,0,434,0,0,0
"ZCTA5 40322",53750,3304,1668,38.8,85,3202,12,0,0
"ZCTA5 40324",79997,51072,25026,35.1,2722,43432,2607,535,128
"ZCTA5 40328",46250,1097,646,44.9,6,1082,0,0,0
"ZCTA5 40330",59211,20437,10258,43,747,18216,786,23,53
"ZCTA5 40334",NA,50,29,NA,0,50,0,0,0
"ZCTA5 40336",40711,12597,6334,43.2,118,12045,17,100,5
"ZCTA5 40337",50658,5518,2613,36,106,5360,3,5,0
"ZCTA5 40339",120688,247,141,48.4,1,49,197,0,0
"ZCTA5 40342",70132,23430,11849,41.8,514,21703,728,28,0
"ZCTA5 40346",NA,815,461,34.6,2,728,4,0,0
"ZCTA5 40347",100787,3828,1886,43,68,3468,154,0,12
"ZCTA5 40348",41875,571,319,55.2,8,446,78,0,0
"ZCTA5 40350",NA,79,25,58.7,0,79,0,0,0
"ZCTA5 40351",49339,22738,11144,29.8,439,21385,479,200,11
"ZCTA5 40353",54757,22425,10907,41.3,730,20494,752,113,152
"ZCTA5 40355",NA,209,118,63.3,0,209,0,0,0
"ZCTA5 40356",69954,44299,21679,39.6,1957,38712,1816,491,32
"ZCTA5 40357",NA,110,80,39.6,0,109,0,0,0
"ZCTA5 40358",81765,891,490,53.6,0,718,97,0,0
"ZCTA5 40359",57454,7125,3512,41.8,28,6825,113,17,3
"ZCTA5 40360",47145,7080,3474,40,79,6857,62,0,3
"ZCTA5 40361",56701,18286,8907,39.6,1443,15319,918,24,80
"ZCTA5 40363",NA,19,19,61.3,0,19,0,0,0
"ZCTA5 40370",90082,2768,1359,46.5,0,2761,0,0,0
"ZCTA5 40371",44091,2919,1491,38.1,17,2894,0,8,0
"ZCTA5 40372",79474,2350,1164,43.1,0,2322,0,19,0
"ZCTA5 40374",43790,2459,1331,36,132,2216,57,9,6
"ZCTA5 40376",NA,41,23,NA,0,41,0,0,0
"ZCTA5 40379",63547,3790,1936,46,42,3590,31,0,0
"ZCTA5 40380",42227,6872,3324,39.3,77,6535,35,0,23
"ZCTA5 40383",78548,24258,11660,42.7,1783,20706,880,100,22
"ZCTA5 40385",55893,2240,1099,46,0,2240,0,0,0
"ZCTA5 40387",39796,1841,1088,46.7,64,1741,0,23,0
"ZCTA5 40390",62574,7896,3601,29.3,92,7067,288,229,0
"ZCTA5 40391",62198,36584,17929,40.8,1231,32560,1422,232,30
"ZCTA5 40402",60028,2555,1362,43.1,0,2540,3,0,0
"ZCTA5 40403",57500,26104,12959,37.1,878,24019,417,42,214
"ZCTA5 40404",NA,919,251,19.6,56,663,134,21,2
"ZCTA5 40409",44500,3667,1853,40.7,6,3523,0,0,0
"ZCTA5 40419",46672,4604,2480,37.3,77,4436,13,0,14
"ZCTA5 40422",55342,25623,13123,38.4,886,21106,2478,235,7
"ZCTA5 40434",NA,0,0,NA,0,0,0,0,0
"ZCTA5 40437",49936,4814,2404,44.2,22,4661,0,15,0
"ZCTA5 40440",46964,2349,1121,44.1,96,2125,9,0,0
"ZCTA5 40442",NA,727,382,45,6,715,6,0,0
"ZCTA5 40444",56894,14183,6791,43.2,399,12949,400,0,26
"ZCTA5 40445",23621,926,407,40.5,0,926,0,0,0
"ZCTA5 40447",31240,7901,3884,42.2,140,7578,25,10,0
"ZCTA5 40448",NA,0,0,NA,0,0,0,0,0
"ZCTA5 40456",46510,8574,4316,46,136,8173,16,13,9
"ZCTA5 40460",29315,1162,572,42.8,0,1156,0,0,0
"ZCTA5 40461",70542,2417,1325,44.4,42,2328,10,27,0
"ZCTA5 40464",58259,970,451,49.1,0,953,0,0,0
"ZCTA5 40468",64226,2026,917,42.5,66,1907,53,0,0
"ZCTA5 40472",39028,1458,744,49.7,0,1451,3,3,0
"ZCTA5 40475",60449,64678,31575,33.6,1660,56609,3076,739,80
"ZCTA5 40481",58712,222,123,28.8,0,222,0,0,0
"ZCTA5 40484",55746,12220,5951,44.5,331,11084,383,65,0
"ZCTA5 40486",63438,2438,1162,35.6,0,2406,0,0,32
"ZCTA5 40489",48797,4251,2061,38.8,0,4147,0,0,0
"ZCTA5 40502",70687,27118,13458,38.5,1170,23340,1091,926,3
"ZCTA5 40503",71131,28186,13346,37.7,1383,23191,701,1881,111
"ZCTA5 40504",44500,26408,13509,30.2,4029,16161,4800,489,85
"ZCTA5 40505",56957,25969,13244,40.5,2207,17711,4989,156,73
"ZCTA5 40507",45000,2057,1153,38.9,89,1638,276,9,0
"ZCTA5 40508",27711,25518,11777,23.5,1911,15700,6176,669,122
"ZCTA5 40509",90503,45181,22044,36.2,2554,30557,6599,3046,18
"ZCTA5 40510",149591,2059,1384,36,104,1546,359,13,8
"ZCTA5 40511",76863,34873,17589,36.4,4448,18861,9415,931,104
"ZCTA5 40513",123662,10697,5256,45.5,356,7902,281,1964,0
"ZCTA5 40514",97669,17238,8806,38,662,14120,761,1051,10
"ZCTA5 40515",84280,36163,17632,37.2,2142,28081,2787,1512,43
"ZCTA5 40516",84836,2758,1375,41.4,88,2133,340,12,1
"ZCTA5 40517",50429,36263,17524,31.6,2432,22389,8588,532,6
"ZCTA5 40526",NA,1778,801,19.1,77,1333,220,85,0
"ZCTA5 40536",NA,0,0,NA,0,0,0,0,0
"ZCTA5 40601",63296,51579,24902,40.2,1993,41809,4530,882,31
"ZCTA5 40701",50346,29988,14633,40.6,554,28481,146,44,51
"ZCTA5 40729",43038,6148,3213,41.8,287,5744,24,0,28
"ZCTA5 40734",41071,3207,1935,43.8,4,3102,10,0,0
"ZCTA5 40737",47938,1730,834,30.3,0,1707,0,0,0
"ZCTA5 40740",58260,4017,1969,39.2,15,3888,0,0,0
"ZCTA5 40741",53075,24282,11936,38.1,265,23488,96,90,5
"ZCTA5 40744",62481,18626,9391,39.4,191,17456,229,58,0
"ZCTA5 40759",35583,2552,1251,43.2,0,2528,7,0,0
"ZCTA5 40763",23095,438,181,55.6,0,434,0,0,0
"ZCTA5 40769",44553,18167,8809,34.4,426,17093,233,67,21
"ZCTA5 40771",NA,1765,911,26.2,79,1445,0,0,0
"ZCTA5 40801",NA,0,0,NA,0,0,0,0,0
"ZCTA5 40803",NA,95,22,44,0,95,0,0,0
"ZCTA5 40806",54122,1664,811,49.6,20,1576,0,0,0
"ZCTA5 40807",51726,523,266,44.7,2,489,0,0,0
"ZCTA5 40808",NA,27,23,26,0,20,0,0,0
"ZCTA5 40810",33472,1286,719,36.8,4,1258,3,0,0
"ZCTA5 40813",53214,297,164,58.1,0,297,0,0,0
"ZCTA5 40815",41722,699,446,43.8,0,602,64,6,0
"ZCTA5 40816",NA,0,0,NA,0,0,0,0,0
"ZCTA5 40818",36856,155,113,55.1,0,140,0,0,0
"ZCTA5 40819",31250,948,475,53,0,914,0,0,0
"ZCTA5 40820",NA,313,160,54.5,0,313,0,0,0
"ZCTA5 40823",34491,3846,1784,35.2,14,3537,62,4,0
"ZCTA5 40824",28500,825,449,25.8,0,825,0,0,0
"ZCTA5 40826",21607,482,264,46.6,0,416,0,0,0
"ZCTA5 40827",51918,777,469,48.3,0,777,0,0,0
"ZCTA5 40828",32578,4478,2068,40.1,17,4277,129,0,0
"ZCTA5 40829",NA,24,24,NA,0,24,0,0,0
"ZCTA5 40830",25599,259,172,64.1,0,259,0,0,0
"ZCTA5 40831",29746,5100,2309,41.1,3,4763,154,52,0
"ZCTA5 40840",NA,458,223,52,0,447,11,0,0
"ZCTA5 40843",22955,64,32,64.4,0,64,0,0,0
"ZCTA5 40844",NA,88,64,74.1,0,88,0,0,0
"ZCTA5 40845",24561,688,283,51.8,0,584,0,0,0
"ZCTA5 40847",NA,74,45,23.7,0,74,0,0,0
"ZCTA5 40849",NA,17,6,62.6,0,17,0,0,0
"ZCTA5 40854",24803,1001,484,37.6,9,957,11,0,0
"ZCTA5 40855",27778,738,346,58.6,6,571,125,0,0
"ZCTA5 40856",44706,874,365,35,13,855,0,0,0
"ZCTA5 40858",NA,171,76,37.4,0,171,0,0,0
"ZCTA5 40862",42813,606,265,38.4,0,601,0,0,0
"ZCTA5 40863",37801,476,266,52.2,0,465,0,0,0
"ZCTA5 40865",54306,314,165,49.6,4,284,0,2,0
"ZCTA5 40868",35714,1026,477,38.7,0,1026,0,0,0
"ZCTA5 40870",45673,627,295,47.4,0,622,0,0,4
"ZCTA5 40873",36591,2402,984,36.3,0,2319,0,58,0
"ZCTA5 40874",NA,115,40,30.7,0,115,0,0,0
"ZCTA5 40902",34000,548,344,56.5,0,506,0,0,31
"ZCTA5 40903",53269,781,503,53.6,0,781,0,0,0
"ZCTA5 40906",22221,11665,5247,38.8,51,11307,205,26,36
"ZCTA5 40913",46320,447,205,31.6,20,408,19,0,0
"ZCTA5 40914",NA,703,378,37.2,0,703,0,0,0
"ZCTA5 40915",34571,905,417,29,12,883,10,0,0
"ZCTA5 40921",23750,155,55,53.8,0,150,0,0,0
"ZCTA5 40923",35375,625,218,42.4,0,625,0,0,0
"ZCTA5 40927",59083,767,403,38.7,0,767,0,0,0
"ZCTA5 40935",21001,2132,1087,35.6,0,2098,0,0,0
"ZCTA5 40939",NA,137,92,37.1,0,137,0,0,0
"ZCTA5 40940",20848,338,170,52.2,0,294,0,0,0
"ZCTA5 40941",NA,145,100,27.6,0,145,0,0,0
"ZCTA5 40943",NA,750,403,38.4,0,733,0,0,0
"ZCTA5 40946",NA,55,49,74.7,0,55,0,0,0
"ZCTA5 40949",71574,483,274,30.7,0,483,0,0,0
"ZCTA5 40953",38750,334,163,33.9,7,327,0,0,7
"ZCTA5 40958",53438,584,284,43.7,0,584,0,0,0
"ZCTA5 40962",36017,17490,9257,41.1,229,15826,833,11,6
"ZCTA5 40964",14432,23,14,67.1,0,20,0,0,0
"ZCTA5 40965",30000,11635,5724,41.5,250,10665,325,28,15
"ZCTA5 40972",43984,1520,729,39.4,1,1478,0,0,0
"ZCTA5 40977",35668,8818,4615,39.9,25,8425,144,0,3
"ZCTA5 40979",NA,0,0,NA,0,0,0,0,0
"ZCTA5 40981",NA,0,0,NA,0,0,0,0,0
"ZCTA5 40982",30147,408,229,30.4,108,300,0,0,0
"ZCTA5 40983",28000,298,147,28.8,0,298,0,0,0
"ZCTA5 40988",34688,375,153,37,41,334,0,0,0
"ZCTA5 40995",NA,40,22,NA,0,40,0,0,0
"ZCTA5 40997",NA,347,211,27.5,0,347,0,0,0
"ZCTA5 41001",97299,19060,9513,39,331,17740,197,337,0
"ZCTA5 41002",55077,2629,1310,45.1,0,2461,27,0,134
"ZCTA5 41003",63654,2756,1367,42.4,26,2565,0,0,1
"ZCTA5 41004",59432,3781,1789,40.2,0,3691,66,14,0
"ZCTA5 41005",98295,24650,12305,37.6,1177,21923,356,613,0
"ZCTA5 41006",62930,3525,1720,49.2,51,3372,29,23,0
"ZCTA5 41007",97283,4647,2356,44.1,38,4548,2,1,1
"ZCTA5 41008",52083,7646,3939,36.6,648,6545,336,0,0
"ZCTA5 41010",55461,3202,1778,45.6,95,2959,0,0,0
"ZCTA5 41011",59684,27044,13653,36.9,2671,19849,3112,364,108
"ZCTA5 41014",51919,7135,3548,33,681,5405,397,66,14
"ZCTA5 41015",63183,20925,10558,39,548,19065,529,24,0
"ZCTA5 41016",61941,5948,2904,37.4,319,4875,199,0,3
"ZCTA5 41017",96151,41040,20560,40,817,37650,1287,725,1
"ZCTA5 41018",66630,28472,13877,34.9,726,24017,1582,469,100
"ZCTA5 41030",78958,6247,3412,31.6,0,5944,211,33,0
"ZCTA5 41031",57783,16416,7924,42.8,454,15226,389,0,0
"ZCTA5 41033",110182,2161,1119,38.5,0,1841,0,27,0
"ZCTA5 41034",44559,1065,579,43.4,49,1013,0,0,0
"ZCTA5 41035",65937,11522,5715,34.7,704,10639,0,24,6
"ZCTA5 41039",53567,2969,1599,40.9,20,2810,37,0,0
"ZCTA5 41040",48384,7312,3906,40.9,148,6991,41,12,3
"ZCTA5 41041",42077,7617,3970,39.2,231,7113,70,61,23
"ZCTA5 41042",74074,55347,26959,39.1,2912,44499,3993,1447,193
"ZCTA5 41043",81429,1491,845,47.3,18,1436,22,0,0
"ZCTA5 41044",71103,1522,918,30.8,0,1474,0,0,0
"ZCTA5 41045",62805,1363,757,38.6,31,1234,12,0,0
"ZCTA5 41046",75313,1790,793,33.2,28,1750,0,0,0
"ZCTA5 41048",123061,16074,7988,37.9,1071,13845,166,312,0
"ZCTA5 41049",47574,2077,906,54.9,4,1946,25,11,0
"ZCTA5 41051",94503,31799,15873,35.9,301,30044,301,486,11
"ZCTA5 41052",NA,190,147,62.3,0,185,5,0,0
"ZCTA5 41055",57788,1758,904,40.5,85,1642,18,0,0
"ZCTA5 41056",46231,13714,6524,42.7,290,11813,1138,95,86
"ZCTA5 41059",54412,3183,1594,44.3,0,3093,18,2,0
"ZCTA5 41063",78250,2668,1305,44.5,39,2598,0,20,0
"ZCTA5 41064",49695,2071,895,39.4,39,2007,7,0,0
"ZCTA5 41071",51287,19626,10276,38.1,812,16778,1352,120,18
"ZCTA5 41073",66741,5596,2848,36.6,250,5029,58,8,0
"ZCTA5 41074",61432,5674,2891,39.6,157,5034,149,7,9
"ZCTA5 41075",93750,17409,8807,38,242,15953,284,221,0
"ZCTA5 41076",68819,17104,7474,37.2,206,15895,390,216,11
"ZCTA5 41080",112986,1550,768,41.7,0,1519,0,0,0
"ZCTA5 41083",46875,1722,856,43.2,0,1685,18,0,0
"ZCTA5 41085",63029,917,496,42.2,80,820,4,0,0
"ZCTA5 41086",48073,1982,975,42.7,263,1583,6,0,0
"ZCTA5 41091",131442,24842,12919,37.1,386,22605,369,683,5
"ZCTA5 41092",73667,3195,1637,42.8,63,3059,0,0,0
"ZCTA5 41093",41833,2741,1279,35.7,2,2701,0,7,0
"ZCTA5 41094",91250,14546,7392,36.5,557,13178,0,96,59
"ZCTA5 41095",53571,3948,2127,35.3,233,3265,222,6,0
"ZCTA5 41097",62491,7072,3338,41.6,12,6402,24,7,0
"ZCTA5 41098",39921,1214,703,44.1,0,1137,0,0,0
"ZCTA5 41101",51595,18686,8849,41,739,16311,342,265,6
"ZCTA5 41102",64994,21026,10864,41.9,213,19662,601,65,9
"ZCTA5 41121",46721,1854,987,38.3,52,1750,0,0,0
"ZCTA5 41124",36650,1202,643,35.7,0,1093,0,0,0
"ZCTA5 41129",58386,8879,4431,48.9,10,8604,90,0,0
"ZCTA5 41132",28750,510,265,23.9,0,510,0,0,0
"ZCTA5 41135",33235,284,111,56.1,0,284,0,0,0
"ZCTA5 41139",57778,8184,4041,45.4,49,7950,60,44,0
"ZCTA5 41141",34659,2382,1261,41.4,0,2366,0,0,0
"ZCTA5 41142",NA,123,87,83.8,0,123,0,0,0
"ZCTA5 41143",45339,13614,6920,40.6,59,13037,107,30,13
"ZCTA5 41144",54431,9486,4983,46.8,242,8998,90,12,21
"ZCTA5 41146",42375,382,195,58.8,0,341,0,0,0
"ZCTA5 41149",31359,445,219,38.2,0,445,0,0,0
"ZCTA5 41159",21964,544,346,43.8,0,544,0,0,0
"ZCTA5 41164",50940,12301,5909,43.7,171,11724,5,0,17
"ZCTA5 41166",39722,1063,537,31.2,0,1010,0,0,0
"ZCTA5 41168",71023,3891,2225,34.3,73,3708,17,0,0
