Zip Code,Population,Group Visits,Individual Visits,Visits per 10000
7940,18403,1,2.87,1.559528338
7974,13122,2,5.74,4.374333181
7981,9051,1,2.87,3.17092034
8003,31402,1,2.87,0.913954525
8033,17451,1,2.87,1.644604894
8057,21691,1,2.87,1.323129409
8060,25426,1,2.87,1.12876583
8067,1768,1,2.87,16.23303167
8080,37942,1,2.87,0.75641769
8106,9698,1,2.87,2.959373067
8221,6971,1,2.87,4.117056376
8225,8442,1,2.87,3.399668325
8361,18669,1,2.87,1.537307837
8520,29291,1,2.87,0.979823154
8540,48216,4,11.48,2.380952381
8542,3325,1,2.87,8.631578947
8701,135256,1,2.87,0.212190217
8742,25056,1,2.87,1.145434227
8802,3911,1,2.87,7.338276656
8837,18463,1,2.87,1.554460272
10001,32612,1,2.87,0.880044156
10002,82155,2,5.74,0.698679326
10003,57076,2,5.74,1.005676642
10010,33991,2,5.74,1.688682298
10011,53318,1,2.87,0.538279755
10012,23125,1,2.87,1.241081081
10013,31042,3,8.61,2.773661491
10014,32590,5,14.35,4.403191163
10019,49029,2,5.74,1.170735687
10021,45691,2,5.74,1.25626491
10022,36708,1,2.87,0.781845919
10023,71164,4,11.48,1.613175201
10024,62250,8,22.96,3.688353414
10025,95424,2,5.74,0.601525822
10027,64037,1,2.87,0.448178397
10028,48116,1,2.87,0.596475185
10029,78141,2,5.74,0.73456956
10031,56363,1,2.87,0.509199297
10035,35980,1,2.87,0.79766537
10036,33868,7,20.09,5.931853077
10128,64249,4,11.48,1.786798238
10280,8993,1,2.87,3.191371066
10512,24664,2,5.74,2.327278625
10536,10792,1,2.87,2.659377317
10573,41758,1,2.87,0.687293453
10580,18268,1,2.87,1.571053208
10589,8510,2,5.74,6.745005875
10594,5028,1,2.87,5.708035004
10801,42949,1,2.87,0.668234418
10956,32499,1,2.87,0.883104096
10960,14680,1,2.87,1.955040872
10990,19877,1,2.87,1.443879861
11040,43075,1,2.87,0.666279745
11103,37362,1,2.87,0.768160163
11104,27407,1,2.87,1.047177728
11106,41722,3,8.61,2.06365946
11201,69703,3,8.61,1.235240951
11203,81824,1,2.87,0.350752835
11204,85885,1,2.87,0.334167782
11205,50474,4,11.48,2.274438325
11206,91549,3,8.61,0.940479962
11209,73239,1,2.87,0.391867721
11211,68540,4,11.48,1.674934345
11213,67217,1,2.87,0.426975319
